record_index,source_group,session_id,source_file,id,time,time_iso,asset,symbol,type,action,tradeAction,direction,amount,price,leverage,pnl,balance,confidence,status,error,reason
84,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:36:02,2026-03-11 02:36:02,ETH,ETHUSDT,SELL,,CLOSE,long,0.092,2069.32,10,-0.9178,63.4075,,recorded,,短线转弱 3m -0.43%
85,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:39:03,2026-03-11 02:39:03,XRP,XRPUSDT,SELL,,CLOSE,long,63,1.4092,10,-0.5229,62.8087,,recorded,,短线转弱 3m -0.50%
86,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:48:03,2026-03-11 02:48:03,ETH,ETHUSDT,BUY,,OPEN,long,0.06,2071.31,10,0,62.7466,,recorded,,24h涨幅前十全仓做多 | 止损 1546.51000000 | 24h第2名 涨幅 +3.04% | RSI 45 | 1m +0.33% | 3m +0.33% | 5m +0.29% | 15m趋势 -0.12% | 波动 0.66% | 量能 4.41x | 回调 ✗
87,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:56:03,2026-03-11 02:56:03,SOL,SOLUSDT,BUY,,OPEN,long,1.14,87.97,10,0,62.6965,,recorded,,24h涨幅前十全仓做多 | 止损 60.43000000 | 24h第3名 涨幅 +3.21% | RSI 56 | 1m -0.20% | 3m -0.07% | 5m -0.19% | 15m趋势 +0.17% | 波动 0.38% | 量能 0.52x | 回调 ✗
88,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:01:02,2026-03-11 03:01:02,ETH,ETHUSDT,SELL,,CLOSE,long,0.06,2070.9,10,0.063,62.6722,,recorded,,趋势走弱 15m -0.05%
89,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:09:03,2026-03-11 03:09:03,XRP,XRPUSDT,BUY,,OPEN,long,74.3,1.407,10,0,62.6199,,recorded,,24h涨幅前十全仓做多 | 止损 0.98480000 | 24h第4名 涨幅 +3.74% | RSI 16 | 1m +0.01% | 3m -0.18% | 5m -0.26% | 15m趋势 -0.57% | 波动 0.48% | 量能 1.37x | 回调 ✓
90,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:13:02,2026-03-11 03:13:02,XRP,XRPUSDT,SELL,,CLOSE,long,74.3,1.4069,10,0.024,62.5677,,recorded,,趋势走弱 15m -0.35%
91,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:15:03,2026-03-11 03:15:03,SOL,SOLUSDT,SELL,,CLOSE,long,1.14,87.01,10,-1.0716,61.4351,,recorded,,短线转弱 3m -0.65%
92,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:26:02,2026-03-11 03:26:02,ETH,ETHUSDT,BUY,,OPEN,long,0.06,2045.7,10,0,61.3737,,recorded,,24h涨幅前十全仓做多 | 止损 1533.33000000 | 24h第2名 涨幅 +1.38% | RSI 26 | 1m +0.00% | 3m +0.22% | 5m -0.01% | 15m趋势 -0.15% | 波动 0.79% | 量能 0.50x | 回调 ✓
93,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:34:02,2026-03-11 03:34:02,ADA,ADAUSDT,BUY,,OPEN,long,370,0.2646,10,0,61.3247,,recorded,,24h涨幅前十全仓做多 | 止损 0.18180000 | 24h第5名 涨幅 +3.20% | RSI 47 | 1m -0.19% | 3m -0.30% | 5m -0.38% | 15m趋势 -0.08% | 波动 0.64% | 量能 0.74x | 回调 ✓
94,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:37:03,2026-03-11 03:37:03,ETH,ETHUSDT,SELL,,CLOSE,long,0.06,2045.47,10,0.0187,61.3107,,recorded,,趋势走弱 15m -0.03%
95,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:45:04,2026-03-11 03:45:04,SOL,SOLUSDT,BUY,,OPEN,long,1.18,86.17,10,0,61.2599,,recorded,,24h涨幅前十全仓做多 | 止损 60.11000000 | 24h第3名 涨幅 +1.02% | RSI 28 | 1m -0.12% | 3m -0.36% | 5m -0.02% | 15m趋势 -0.58% | 波动 0.65% | 量能 1.45x | 回调 ✓
96,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:49:02,2026-03-11 03:49:02,SOL,SOLUSDT,SELL,,CLOSE,long,1.18,86.35,10,0.2714,61.445,,recorded,,趋势走弱 15m -0.37%
97,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 03:57:04,2026-03-11 03:57:04,ETH,ETHUSDT,BUY,,OPEN,long,0.05,2036.67,10,0,61.3941,,recorded,,24h涨幅前十全仓做多 | 止损 1421.86000000 | 24h第2名 涨幅 +1.15% | RSI 38 | 1m -0.03% | 3m -0.13% | 5m -0.26% | 15m趋势 -0.20% | 波动 0.59% | 量能 2.75x | 回调 ✗
98,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:01:02,2026-03-11 04:01:02,ETH,ETHUSDT,SELL,,CLOSE,long,0.05,2038.9,10,0.1215,61.4777,,recorded,,趋势走弱 15m -0.30%
99,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:09:04,2026-03-11 04:09:04,ETH,ETHUSDT,BUY,,OPEN,long,0.05,2039.13,10,0,61.4267,,recorded,,24h涨幅前十全仓做多 | 止损 1423.43000000 | 24h第2名 涨幅 +1.30% | RSI 44 | 1m -0.07% | 3m +0.10% | 5m +0.09% | 15m趋势 -0.13% | 波动 0.49% | 量能 4.79x | 回调 ✗
100,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:12:03,2026-03-11 04:12:03,ADA,ADAUSDT,SELL,,CLOSE,long,370,0.2632,10,-0.518,60.823,,recorded,,短线转弱 3m -0.45%
101,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:21:03,2026-03-11 04:21:03,ETH,ETHUSDT,BUY,,OPEN,long,0.049,2039.8,10,0,60.7731,,recorded,,24h涨幅前十全仓做多 | 止损 1730.91000000 | 24h第2名 涨幅 +0.70% | RSI 57 | 1m -0.15% | 3m -0.05% | 5m -0.15% | 15m趋势 +0.08% | 波动 0.58% | 量能 1.26x | 回调 ✗
102,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:30:03,2026-03-11 04:30:03,ETH,ETHUSDT,SELL,,CLOSE,long,0.099,2031.68,10,-0.6587,59.9448,,recorded,,跌出24h涨幅前十
103,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:31:04,2026-03-11 04:31:04,FLOW,FLOWUSDT,BUY,,OPEN,long,8845.3,0.06674,10,0,59.6506,,recorded,,24h涨幅前十全仓做多 | 止损 0.06313000 | 24h第4名 涨幅 +35.73% | RSI 13 | 1m -0.27% | 3m -0.77% | 5m -0.09% | 15m趋势 -2.34% | 波动 2.41% | 量能 1.18x | 回调 ✓
104,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:40:03,2026-03-11 04:40:03,FLOW,FLOWUSDT,SELL,,CLOSE,long,8845.3,0.06729,10,7.012,66.3015,,recorded,,趋势走弱 15m -0.41%
105,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:41:05,2026-03-11 04:41:05,FLOW,FLOWUSDT,BUY,,OPEN,long,9664.5,0.06756,10,0,65.9751,,recorded,,24h涨幅前十全仓做多 | 止损 0.06411000 | 24h第4名 涨幅 +38.24% | RSI 53 | 1m +0.40% | 3m +0.87% | 5m +0.43% | 15m趋势 +0.99% | 波动 1.21% | 量能 1.75x | 回调 ✗
106,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:54:04,2026-03-11 04:54:04,FLOW,FLOWUSDT,SELL,,CLOSE,long,9664.5,0.06737,10,-1.9388,63.3135,,recorded,,短线转弱 3m -0.56%
107,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 04:55:05,2026-03-11 04:55:05,FLOW,FLOWUSDT,BUY,,OPEN,long,9283.9,0.06716,10,0,63.0017,,recorded,,24h涨幅前十全仓做多 | 止损 0.06376000 | 24h第4名 涨幅 +36.99% | RSI 43 | 1m -0.31% | 3m -0.81% | 5m -0.07% | 15m趋势 -0.25% | 波动 1.35% | 量能 1.76x | 回调 ✓
108,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 05:27:04,2026-03-11 05:27:04,FLOW,FLOWUSDT,SELL,,CLOSE,long,9283.9,0.06781,10,6.2089,69.1688,,recorded,,动态止盈 峰值 1.70% 回撤到 0.94%
109,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 05:33:04,2026-03-11 05:33:04,FLOW,FLOWUSDT,BUY,,OPEN,long,9992.3,0.06817,10,0,68.8286,,recorded,,24h涨幅前十全仓做多 | 止损 0.06462000 | 24h第4名 涨幅 +39.55% | RSI 55 | 1m +0.25% | 3m +0.63% | 5m +0.63% | 15m趋势 +0.13% | 波动 0.79% | 量能 1.41x | 回调 ✗
110,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 05:37:04,2026-03-11 05:37:04,FLOW,FLOWUSDT,SELL,,CLOSE,long,9992.3,0.06724,10,-8.2939,60.1736,,recorded,,短线转弱 3m -1.10%
111,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 05:47:05,2026-03-11 05:47:05,FLOW,FLOWUSDT,BUY,,OPEN,long,8475.5,0.06782,10,0,59.8858,,recorded,,24h涨幅前十全仓做多 | 止损 0.06436000 | 24h第4名 涨幅 +36.88% | RSI 41 | 1m -0.12% | 3m -0.06% | 5m -0.06% | 15m趋势 -0.26% | 波动 0.46% | 量能 1.63x | 回调 ✓
112,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 06:20:04,2026-03-11 06:20:04,FLOW,FLOWUSDT,SELL,,CLOSE,long,8475.5,0.06842,10,4.5986,64.1725,,recorded,,动态止盈 峰值 1.43% 回撤到 0.75%
113,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 06:31:04,2026-03-11 06:31:04,PIXEL,PIXELUSDT,BUY,,OPEN,long,75419,0.008128,10,0,63.8662,,recorded,,24h涨幅前十全仓做多 | 止损 0.00769700 | 24h第2名 涨幅 +59.51% | RSI 45 | 1m -0.27% | 3m +0.01% | 5m -0.26% | 15m趋势 +0.05% | 波动 1.40% | 量能 1.36x | 回调 ✓
114,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 06:38:04,2026-03-11 06:38:04,PIXEL,PIXELUSDT,SELL,,CLOSE,long,75419,0.008023,10,-7.1128,57.0532,,recorded,,短线转弱 3m -0.83%
115,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 06:41:05,2026-03-11 06:41:05,PIXEL,PIXELUSDT,BUY,,OPEN,long,66700,0.008171,10,0,56.7807,,recorded,,24h涨幅前十全仓做多 | 止损 0.00774200 | 24h第1名 涨幅 +60.73% | RSI 56 | 1m +0.95% | 3m +1.82% | 5m +0.95% | 15m趋势 +0.26% | 波动 2.25% | 量能 1.84x | 回调 ✗
116,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 06:47:04,2026-03-11 06:47:04,PIXEL,PIXELUSDT,SELL,,CLOSE,long,66700,0.00824,10,4.2368,60.4269,,recorded,,动态止盈 峰值 1.99% 回撤到 0.85%
117,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 06:49:04,2026-03-11 06:49:04,FLOW,FLOWUSDT,BUY,,OPEN,long,8628.2,0.0669,10,0,60.1376,,recorded,,24h涨幅前十全仓做多 | 止损 0.06357000 | 24h第6名 涨幅 +28.27% | RSI 24 | 1m -0.67% | 3m -0.09% | 5m -0.99% | 15m趋势 -2.96% | 波动 3.60% | 量能 2.05x | 回调 ✓
118,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 07:01:04,2026-03-11 07:01:04,FLOW,FLOWUSDT,SELL,,CLOSE,long,8628.2,0.06669,10,-3.1382,56.2576,,recorded,,短线转弱 3m -0.61%
119,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 07:11:20,2026-03-11 07:11:20,ADA,ADAUSDT,BUY,,OPEN,long,2126,0.2606,10,0,55.9804,,recorded,,24h涨幅前十全仓做多 | 止损 0.24750000 | 24h第5名 涨幅 +1.64% | RSI 37 | 1m -0.15% | 3m -0.08% | 5m -0.08% | 15m趋势 -0.27% | 波动 0.46% | 量能 1.52x | 回调 ✗
120,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 07:23:04,2026-03-11 07:23:04,ADA,ADAUSDT,BUY,,OPEN,long,26,0.2609,10,0,55.977,,recorded,,24h涨幅前十全仓做多 | 止损 0.24770000 | 24h第5名 涨幅 +1.24% | RSI 52 | 1m +0.15% | 3m +0.19% | 5m +0.19% | 15m趋势 +0.00% | 波动 0.27% | 量能 2.28x | 回调 ✗
121,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 07:40:03,2026-03-11 07:40:03,ADA,ADAUSDT,SELL,,CLOSE,long,2152,0.261,10,0.8556,56.5516,,recorded,,趋势走弱 15m -0.34%
122,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 07:50:04,2026-03-11 07:50:04,BTC,BTCUSDT,BUY,,OPEN,long,0.007,69683.1,10,0,56.3077,,recorded,,24h涨幅前十全仓做多 | 止损 65637.30000000 | 24h第1名 涨幅 +1.52% | RSI 67 | 1m +0.07% | 3m +0.11% | 5m +0.18% | 15m趋势 +0.23% | 波动 0.24% | 量能 1.61x | 回调 ✗
123,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 08:02:03,2026-03-11 08:02:03,ADA,ADAUSDT,BUY,,OPEN,long,299,0.2614,10,0,56.2686,,recorded,,24h涨幅前十全仓做多 | 止损 0.16730000 | 24h第5名 涨幅 +2.51% | RSI 53 | 1m +0.04% | 3m +0.15% | 5m +0.15% | 15m趋势 -0.04% | 波动 0.34% | 量能 2.54x | 回调 ✗
124,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 08:19:04,2026-03-11 08:19:04,ADA,ADAUSDT,BUY,,OPEN,long,25,0.262,10,0,56.259,,recorded,,24h涨幅前十全仓做多 | 止损 0.17470000 | 24h第5名 涨幅 +2.62% | RSI 68 | 1m +0.11% | 3m +0.19% | 5m +0.31% | 15m趋势 +0.27% | 波动 0.34% | 量能 1.27x | 回调 ✗
125,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 08:22:03,2026-03-11 08:22:03,BTC,BTCUSDT,SELL,,CLOSE,long,0.007,69683,10,0.0119,56.027,,recorded,,趋势走弱 15m -0.10%
126,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 08:30:05,2026-03-11 08:30:05,SOL,SOLUSDT,BUY,,OPEN,long,5.46,85.46,10,0,55.7937,,recorded,,24h涨幅前十全仓做多 | 止损 80.32000000 | 24h第3名 涨幅 +0.28% | RSI 32 | 1m +0.00% | 3m -0.25% | 5m -0.31% | 15m趋势 -0.23% | 波动 0.41% | 量能 1.34x | 回调 ✗
127,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 08:40:03,2026-03-11 08:40:03,ADA,ADAUSDT,BUY,,OPEN,long,51,0.2621,10,0,55.787,,recorded,,24h涨幅前十全仓做多 | 止损 0.18720000 | 24h第5名 涨幅 +2.58% | RSI 67 | 1m +0.00% | 3m +0.08% | 5m +0.15% | 15m趋势 +0.15% | 波动 0.31% | 量能 1.82x | 回调 ✗
128,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 08:52:03,2026-03-11 08:52:03,SOL,SOLUSDT,BUY,,OPEN,long,0.06,85.7,10,0,55.7845,,recorded,,24h涨幅前十全仓做多 | 止损 80.40000000 | 24h第3名 涨幅 +1.04% | RSI 61 | 1m -0.01% | 3m +0.11% | 5m +0.07% | 15m趋势 +0.08% | 波动 0.27% | 量能 1.51x | 回调 ✗
129,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 09:05:04,2026-03-11 09:05:04,SOL,SOLUSDT,SELL,,CLOSE,long,5.52,85.56,10,0.7578,56.3544,,recorded,,趋势走弱 15m -0.09%
130,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 09:14:03,2026-03-11 09:14:03,BTC,BTCUSDT,BUY,,OPEN,long,0.006,70008.7,10,0,56.1444,,recorded,,24h涨幅前十全仓做多 | 止损 65312.50000000 | 24h第1名 涨幅 +2.33% | RSI 58 | 1m -0.02% | 3m +0.20% | 5m +0.11% | 15m趋势 +0.14% | 波动 0.41% | 量能 1.18x | 回调 ✗
131,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 09:25:05,2026-03-11 09:25:05,ETH,ETHUSDT,BUY,,OPEN,long,0.019,2038.46,10,0,56.125,,recorded,,24h涨幅前十全仓做多 | 止损 560.18000000 | 24h第2名 涨幅 +1.61% | RSI 62 | 1m +0.12% | 3m +0.12% | 5m +0.10% | 15m趋势 +0.12% | 波动 0.34% | 量能 1.25x | 回调 ✗
132,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 09:31:03,2026-03-11 09:31:03,ETH,ETHUSDT,SELL,,CLOSE,long,0.019,2036.98,10,-0.0144,56.0842,,recorded,,跌出24h涨幅前十
133,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 09:31:03,2026-03-11 09:31:03,ADA,ADAUSDT,SELL,,CLOSE,long,375,0.2615,10,-0.0005,55.9972,,recorded,,跌出24h涨幅前十
134,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 09:31:04,2026-03-11 09:31:04,BTC,BTCUSDT,SELL,,CLOSE,long,0.006,70000,10,-0.0654,55.63,,recorded,,跌出24h涨幅前十
135,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 09:41:05,2026-03-11 09:41:05,ETH,ETHUSDT,BUY,,OPEN,long,0.269,2029.16,10,0,55.3571,,recorded,,24h涨幅前十全仓做多 | 止损 1926.12000000 | 主流成交额第2名 涨幅 +0.57% | RSI 20 | 1m -0.09% | 3m -0.21% | 5m -0.09% | 15m趋势 -0.37% | 波动 0.30% | 量能 1.83x | 回调 ✓
136,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 10:06:04,2026-03-11 10:06:04,ETH,ETHUSDT,SELL,,CLOSE,long,0.269,2037.21,10,2.1544,57.1463,,recorded,,趋势走弱 15m -0.05%
137,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 10:15:04,2026-03-11 10:15:04,BTC,BTCUSDT,BUY,,OPEN,long,0.008,70008.1,10,0,56.8662,,recorded,,主流币池全仓做多 | 止损 66446.10000000 | 主流成交额第1名 涨幅 +1.31% | RSI 51 | 1m -0.07% | 3m -0.01% | 5m +0.01% | 15m趋势 +0.04% | 波动 0.21% | 量能 6.36x | 回调 ✗
138,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 13:12:03,2026-03-11 13:12:03,BTC,BTCUSDT,SELL,,CLOSE,long,0.008,69544,10,-3.7845,52.7369,,recorded,,软止损 0.60%
139,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 14:00:02,2026-03-11 14:00:02,SOL,SOLUSDT,BUY,,OPEN,long,5.81,86.66,10,0,52.485,,recorded,,主流币池全仓做多 | 止损 82.16000000 | 主流成交额第3名 涨幅 +0.23% | RSI 67 | 1m -0.01% | 3m +0.28% | 5m +0.16% | 15m趋势 +0.39% | 波动 0.45% | 量能 2.71x | 回调 ✗
140,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 14:31:02,2026-03-11 14:31:02,SOL,SOLUSDT,SELL,,CLOSE,long,5.81,86.15,10,-3.1941,48.9231,,recorded,,软止损 0.60%
1,history,20260314_102532_178068,data/history/legacy_root/20260314_102532_178068/trades.json,,2026-03-14 09:53:22,2026-03-14 09:53:22,SOL,SOLUSDT,BUY,,OPEN,long,1.28,87.86,6,0,18.95,,recorded,,BTC日线+RSI开仓
2,history,20260314_102532_178068,data/history/legacy_root/20260314_102532_178068/trades.json,,2026-03-14 10:00:51,2026-03-14 10:00:51,PIXEL,PIXELUSDT,BUY,,OPEN,long,4663,0.012279,6,0,9.53,,recorded,,BTC日线+RSI开仓
1,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1775808293,2026-04-10 17:04:53,2026-04-10 17:04:53,BTC,BTC-USDT-SWAP,SELL,OPEN_SHORT,OPEN,short,0.01,71403,10,0,,0.7,recorded,,【中期阶段·B级信号】综合分析：1) 价格形态：BTC 1H K线呈现明显的高点降低走势（72097→71777→71463.5→71402.9），高点逐步下移，价格重心下移；2) 成交量：最近1H成交量仅61905.4，对比之前418943大幅萎缩，显示上涨动能衰竭；3) RSI估算：约52-55，处于中性偏弱区域；4) 资金费率：BTC微正(0.000063)，表明多头力量有限；5) OI：3
2,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1775809275,2026-04-10 17:21:15,2026-04-10 17:21:15,ETH,ETH-USDT-SWAP,SELL,OPEN_SHORT,OPEN,short,0.3,2183.1,7,0,,0.68,recorded,,中期阶段(第4-10天)，执行B级信号策略。ETH短线呈现高点下移形态：1H高点从2197.6→2187.91→2183.53，连续下降。成交量在4月10日17:00达到峰值112万后逐步缩量，显示上涨动能衰减。4H RSI约52处于中性。资金费率0.0001略微偏正但绝对值小，符合空头信号中的第2、5条件。综合判定为B级信号(满足2个条件)。ETH交易量更高(4373万)流动性好于SOL，适合开
3,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1775809743,2026-04-10 17:29:03,2026-04-10 17:29:03,BTC,BTC-USDT-SWAP,SELL,CLOSE_SHORT,CLOSE,short,0.1,71617.9,10,0,,0.55,recorded,,检测到之前持有的空头持仓需要处理。从4H K线分析，BTC从高点73146.1回落至当前71617.9，跌幅约2.1%，价格已接近短期支撑区域（71388.9-71404.1）。虽然市场整体偏震荡，但价格并未出现明显的企稳信号，而是呈现无量回调。从策略角度看：无明确的多头信号（RSI约50中性，无超卖，成交量平稳）；无明确的空头信号（价格已回撤约2%，接近支撑）；风控优先原则—不明确的持仓应平仓观
4,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1775811250,2026-04-10 17:54:10,2026-04-10 17:54:10,ETH,ETH-USDT-SWAP,SELL,OPEN_SHORT,OPEN,short,0.05,2181.19,10,0,,0.7,recorded,,"【比赛阶段判断】当前为比赛初期阶段（账户初始状态，可用余额 500 USDT）。

【ETH 短期看跌信号分析】
1. RSI 超买状态：ETH 1H价格从高点 2196.14 回落至 2181.19，RSI 已从超买区回落至 65-70 区间，属于多头动能衰竭后的回调阶段。
2. 价格顶部降低：最近 4 根 1H K线呈现明显的高点下移（2196.14 → 2194.99 → 2185.74 →"
5,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1775812269,2026-04-10 18:11:09,2026-04-10 18:11:09,BTC,BTC-USDT-SWAP,SELL,OPEN_SHORT,OPEN,short,0.1,71651.9,10,0,,0.7,failed,Order placement failed (check engine/CLI logs),"【威科夫背离分析 - 看跌信号】

1) K线形态：过去4-6根1H K线呈现清晰的顶部降低模式。1H最高点：72097→71777→71463.5→71581.2，当前71651.9，高点逐步下移。同时最近一根K线收阴，显示短期趋势偏弱。

2) 成交量萎缩：最新1H成交量仅25171.71，相较前一根377281.92大幅缩量至不到1/10，显示上涨动能衰竭，买盘枯竭。符合看跌信号第5条（成交"
6,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1775812703,2026-04-10 18:18:23,2026-04-10 18:18:23,BTC,BTC-USDT-SWAP,SELL,OPEN_SHORT,OPEN,short,0.1,71667.7,10,0,,0.68,failed,Order placement failed (check engine/CLI logs),"【威科夫背离分析 - BTC-USDT-SWAP】

## 当前行情判断
1. **RSI状态**：1H RSI约42（接近超卖但未达到30），4H RSI约48.67（中性偏弱）
2. **K线形态**：最近6根1H K线呈现明显下跌趋势，高点逐步降低（72258→72150→71819.5→71730→71699.8），低点也在下移（71960.4→71754.6→71404.1→71388."
7,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1776039074,2026-04-13 09:11:14,2026-04-13 09:11:14,BTC,BTC-USDT-SWAP,SELL,OPEN_SHORT,OPEN,short,0.1,72988.2,7,0,,0.66,failed,Order placement failed (check engine/CLI logs),【信号分析】1) 价格形态：BTC从73659.6高点降至72988.2，1H K线呈现顶部逐步降低（High点：73530.4→73546.3→73670.7→73799.1），这是明确的看跌信号。2) 成交量：最近两根1H K线成交量持续萎缩（239979.75→125456.76），下跌过程中量能衰竭，显示卖压不大但买盘更弱。3) 资金费率：0.000055（正），多头略拥挤但并非极端。4)
8,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1776042484,2026-04-13 10:08:04,2026-04-13 10:08:04,ETH,ETH-USDT-SWAP,SELL,OPEN_SHORT,OPEN,short,1,2203.1,7,0,,0.65,recorded,,从4H级别分析，ETH从2283.73下跌至2190.46，跌幅约4.08%，下跌趋势明显。观察最近6根1H K线，高点依次下降：2217.33→2218→2206.73→2204.79→2198.25→2190.46，呈现价格见顶形态。ETH资金费率为负(-0.0000217)，说明空头略微占优。当前1H RSI为45.2，虽然未达到超买区域但处于中性偏低位置。综合判断下跌信号相对明确，符合中期
9,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1776043036,2026-04-13 10:17:16,2026-04-13 10:17:16,ETH,ETH-USDT-SWAP,SELL,CLOSE_SHORT,CLOSE,short,1,2202.26,3,0,,0.65,recorded,,当前ETH空单已有微利（价格从2203.37回落至2202.26）。从威科夫分析角度：1）ETH 1H RSI为44.68，接近超卖区域但未达极端，存在反弹可能；2）价格从近期高点2222.6回落至2202.26，跌幅约0.9%，需警惕短线反弹；3）1H K线显示近期呈现冲高回落走势，多头力量有衰竭迹象；4）资金费率-0.000021略偏负，空头稍有拥挤但不算极端。基于中期阶段稳健交易原则，锁定部
10,live_session,trader_1775783420406,data/sessions/trader_1775783420406/trades.json,1776045020,2026-04-13 10:50:20,2026-04-13 10:50:20,ETH,ETH-USDT-SWAP,BUY,OPEN_LONG,OPEN,long,1,2202.05,10,0,,0.58,recorded,,分析结论：1) ETH 1H RSI 44.58 偏低但未到超卖，有反弹空间；2) ETH资金费率为负(-0.0016%)说明空头拥挤，存在轧空机会；3) 最近6根1H K线显示价格底部在抬高(2173→2181.88→2185→2186→2190→2204)，呈现企稳迹象；4) BTC同期也呈现底部抬高特征；5) 前期大幅下跌后进入震荡整理，存在反弹可能。选择10x杠杆，开1张合约(0.1 ET
